,test_file,test,base_time_min,base_time_mean,base_time_max,dynamo_time_min,dynamo_time_mean,dynamo_time_max,ratio
614,test_set.py,TestBasicOpsTriple.test_empty_union,0.118,0.1205,0.123,0.69,0.7122499999999999,0.728,5.910788381742738
480,test_operator.py,PyOperatorTestCase.test_pow,0.119,0.1215,0.123,0.714,0.71775,0.721,5.907407407407407
869,test_set.py,TestOnlySetsDict.test_union,0.121,0.12225,0.124,0.708,0.722,0.734,5.9059304703476485
912,test_set.py,TestOnlySetsString.test_union,0.117,0.1215,0.13,0.71,0.7175,0.724,5.905349794238684
595,test_set.py,TestBasicOpsString.test_empty_union,0.12,0.1215,0.122,0.713,0.7175,0.722,5.905349794238684
156,test_ordered_dict.py,CSimpleLRUCacheTests.test_change_order_on_get,0.122,0.12275,0.123,0.702,0.72475,0.736,5.904276985743381
864,test_set.py,TestOnlySetsDict.test_intersection_update,0.118,0.12025,0.122,0.701,0.70975,0.716,5.902286902286902
336,test_math.py,MathTests.testSinh,0.119,0.1225,0.125,0.72,0.723,0.727,5.90204081632653
654,test_set.py,TestBinaryOps.test_intersection_superset,0.12,0.12125,0.123,0.708,0.7155,0.726,5.901030927835052
481,test_operator.py,PyOperatorTestCase.test_rshift,0.118,0.1205,0.122,0.701,0.711,0.724,5.900414937759336
862,test_set.py,TestOnlySetsDict.test_ge_gt_le_lt,0.122,0.123,0.125,0.723,0.72575,0.73,5.900406504065041
1208,test_list.py,ListTest.test_subscript,0.122,0.12275,0.124,0.714,0.72425,0.742,5.90020366598778
576,test_set.py,TestBasicOpsSingleton.test_intersection_empty,0.119,0.12,0.122,0.7,0.708,0.722,5.9
888,test_set.py,TestOnlySetsNumeric.test_union,0.121,0.122,0.123,0.703,0.71975,0.736,5.899590163934426
1017,test_set.py,TestUpdateOps.test_sym_difference_subset,0.12,0.12125,0.123,0.708,0.7152499999999999,0.722,5.898969072164948
542,test_set.py,TestBasicOpsEmpty.test_self_equality,0.118,0.1205,0.122,0.696,0.71075,0.726,5.898340248962656
525,test_set.py,TestBasicOpsBytes.test_self_symmetric_difference,0.121,0.1215,0.122,0.708,0.7164999999999999,0.721,5.897119341563785
592,test_set.py,TestBasicOpsString.test_empty_intersection,0.118,0.119,0.12,0.688,0.70175,0.713,5.897058823529412
330,test_math.py,MathTests.testLog10,0.122,0.12275,0.123,0.709,0.72375,0.732,5.896130346232179
262,test_exceptions.py,ExceptionTests.test_generator_doesnt_retain_old_exc,0.116,0.11725,0.118,0.675,0.69125,0.709,5.895522388059702
572,test_set.py,TestBasicOpsSingleton.test_empty_symmetric_difference,0.121,0.12175,0.123,0.709,0.71775,0.722,5.895277207392197
772,test_set.py,TestFrozenSetSubclass.test_uniquification,0.12,0.1215,0.124,0.712,0.7162499999999999,0.72,5.895061728395062
926,test_set.py,TestOnlySetsTuple.test_union,0.121,0.1215,0.122,0.709,0.716,0.726,5.893004115226337
847,test_set.py,TestMutate.test_add_until_full,0.116,0.119,0.121,0.685,0.7012499999999999,0.722,5.892857142857142
197,test_itertools.py,TestExamples.test_product,0.12,0.121,0.122,0.712,0.713,0.715,5.892561983471074
643,test_set.py,TestBasicOpsTuple.test_self_difference,0.117,0.12075,0.123,0.706,0.7112499999999999,0.72,5.890269151138716
756,test_set.py,TestFrozenSetSubclass.test_deepcopy,0.118,0.11825,0.119,0.693,0.6964999999999999,0.705,5.8900634249471455
637,test_set.py,TestBasicOpsTuple.test_intersection_empty,0.118,0.12,0.122,0.698,0.70675,0.713,5.889583333333333
116,test_ordered_dict.py,CPythonBuiltinDictTests.test_setitem,0.115,0.12,0.124,0.692,0.70675,0.721,5.889583333333333
331,test_math.py,MathTests.testLog1p,0.117,0.12,0.123,0.69,0.70675,0.713,5.889583333333333
324,test_math.py,MathTests.testFrexp,0.121,0.12125,0.122,0.712,0.714,0.718,5.8886597938144325
925,test_set.py,TestOnlySetsTuple.test_sym_difference_update_operator,0.116,0.11825,0.124,0.691,0.6962499999999999,0.702,5.887949260042283
200,test_itertools.py,TestExamples.test_zip_longest,0.117,0.12,0.123,0.692,0.7064999999999999,0.717,5.887499999999999
551,test_set.py,TestBasicOpsMixedStringBytes.test_empty_intersection,0.121,0.12175,0.122,0.711,0.71675,0.725,5.887063655030801
471,test_operator.py,PyOperatorTestCase.test_lt,0.117,0.11925,0.122,0.685,0.702,0.718,5.886792452830188
915,test_set.py,TestOnlySetsTuple.test_difference,0.118,0.12075,0.123,0.706,0.71075,0.716,5.886128364389234
573,test_set.py,TestBasicOpsSingleton.test_empty_union,0.118,0.12025,0.123,0.7,0.70775,0.711,5.885654885654886
962,test_set.py,TestSet.test_uniquification,0.117,0.1195,0.123,0.684,0.7032499999999999,0.725,5.884937238493723
931,test_set.py,TestSet.test_clear,0.118,0.1215,0.124,0.711,0.715,0.718,5.88477366255144
335,test_math.py,MathTests.testSin,0.12,0.1215,0.123,0.689,0.715,0.732,5.88477366255144
391,test_iter.py,TestCase.test_nested_comprehensions_iter,0.12,0.1235,0.13,0.711,0.72675,0.74,5.884615384615385
621,test_set.py,TestBasicOpsTriple.test_self_difference,0.119,0.12125,0.123,0.706,0.7135,0.721,5.884536082474227
302,test_math.py,IsCloseTests.test_negative_tolerances,0.118,0.12075,0.123,0.704,0.7104999999999999,0.722,5.884057971014492
1019,test_set.py,TestUpdateOps.test_union_method_call,0.12,0.1205,0.122,0.705,0.709,0.715,5.883817427385892
1013,test_set.py,TestUpdateOps.test_intersection_superset,0.122,0.1225,0.123,0.711,0.72075,0.725,5.883673469387755
944,test_set.py,TestSet.test_isub,0.119,0.12025,0.121,0.702,0.7075,0.719,5.883575883575884
880,test_set.py,TestOnlySetsNumeric.test_eq_ne,0.117,0.11925,0.121,0.689,0.7015,0.71,5.882599580712789
752,test_set.py,TestFrozenSet.test_xor,0.121,0.12175,0.123,0.711,0.716,0.722,5.880903490759754
665,test_set.py,TestBinaryOps.test_union_subset,0.12,0.1215,0.123,0.698,0.7144999999999999,0.729,5.880658436213992
461,test_operator.py,PyOperatorTestCase.test_gt,0.118,0.12,0.122,0.699,0.7052499999999999,0.709,5.877083333333333
1036,test_contextlib.py,ContextManagerTestCase.test_contextmanager_trap_second_yield,0.118,0.12,0.121,0.697,0.7052499999999999,0.711,5.877083333333333
398,test_iter.py,TestCase.test_sinkstate_enumerate,0.117,0.11975,0.122,0.689,0.70375,0.716,5.876826722338205
897,test_set.py,TestOnlySetsOperator.test_intersection_update,0.119,0.121,0.124,0.709,0.711,0.714,5.87603305785124
653,test_set.py,TestBinaryOps.test_intersection_subset,0.119,0.1205,0.122,0.705,0.708,0.711,5.87551867219917
318,test_math.py,MathTests.testExp,0.12,0.12175,0.124,0.708,0.7152499999999999,0.724,5.874743326488706
530,test_set.py,TestBasicOpsEmpty.test_empty_difference_rev,0.118,0.1215,0.125,0.703,0.71375,0.72,5.874485596707819
179,test_itertools.py,TestBasicOps.test_filter,0.121,0.1215,0.123,0.697,0.71375,0.724,5.874485596707819
511,test_set.py,TestBasicOpsBytes.test_empty_difference_rev,0.118,0.1195,0.122,0.7,0.702,0.705,5.874476987447698
1156,test_generators.py,GeneratorThrowTest.test_exception_context_with_yield,0.119,0.121,0.123,0.702,0.71075,0.719,5.87396694214876
550,test_set.py,TestBasicOpsMixedStringBytes.test_empty_difference_rev,0.12,0.12075,0.121,0.699,0.7092499999999999,0.722,5.873706004140787
645,test_set.py,TestBasicOpsTuple.test_self_intersection,0.117,0.1205,0.122,0.685,0.70775,0.721,5.87344398340249
460,test_operator.py,PyOperatorTestCase.test_getitem,0.117,0.121,0.123,0.702,0.7104999999999999,0.717,5.87190082644628
758,test_set.py,TestFrozenSetSubclass.test_equality,0.12,0.12225,0.125,0.706,0.71775,0.728,5.871165644171779
1198,test_list.py,ListTest.test_pop,0.12,0.12225,0.123,0.711,0.71775,0.724,5.871165644171779
119,test_ordered_dict.py,CPythonGeneralMappingTests.test_get,0.116,0.1175,0.119,0.666,0.68975,0.711,5.870212765957447
141,test_ordered_dict.py,CPythonOrderedDictTests.test_issue24667,0.12,0.12125,0.124,0.696,0.71175,0.72,5.870103092783506
646,test_set.py,TestBasicOpsTuple.test_self_isdisjoint,0.118,0.12,0.122,0.688,0.7042499999999999,0.712,5.86875
1029,test_contextlib.py,ContextManagerTestCase.test_contextmanager_except,0.118,0.12075,0.123,0.705,0.7084999999999999,0.71,5.867494824016562
628,test_set.py,TestBasicOpsTuple.test_copy,0.118,0.122,0.127,0.712,0.7155,0.719,5.864754098360656
666,test_set.py,TestBinaryOps.test_union_superset,0.119,0.1215,0.124,0.707,0.7124999999999999,0.721,5.864197530864197
484,test_operator.py,PyOperatorTestCase.test_truediv,0.121,0.1215,0.122,0.706,0.7124999999999999,0.718,5.864197530864197
134,test_ordered_dict.py,CPythonOrderedDictSubclassTests.test_setitem,0.118,0.12125,0.124,0.702,0.711,0.719,5.863917525773196
528,test_set.py,TestBasicOpsEmpty.test_copy,0.117,0.12075,0.122,0.699,0.708,0.715,5.86335403726708
483,test_operator.py,PyOperatorTestCase.test_sub,0.119,0.12075,0.122,0.703,0.708,0.717,5.86335403726708
524,test_set.py,TestBasicOpsBytes.test_self_isdisjoint,0.119,0.12025,0.123,0.699,0.705,0.717,5.862785862785863
1094,test_collections.py,TestCounter.test_total,0.117,0.11975,0.123,0.684,0.702,0.713,5.862212943632568
906,test_set.py,TestOnlySetsString.test_eq_ne,0.118,0.119,0.12,0.691,0.6975,0.705,5.861344537815127
966,test_set.py,TestSetSubclass.test_add,0.118,0.1225,0.129,0.701,0.718,0.739,5.861224489795919
965,test_set.py,TestSetOfSets.test_constructor,0.118,0.1205,0.123,0.689,0.7062499999999999,0.72,5.860995850622406
1003,test_set.py,TestSetSubclass.test_xor,0.123,0.12325,0.124,0.715,0.72225,0.732,5.860040567951318
623,test_set.py,TestBasicOpsTriple.test_self_intersection,0.121,0.12125,0.122,0.698,0.7104999999999999,0.718,5.859793814432989
529,test_set.py,TestBasicOpsEmpty.test_empty_difference,0.12,0.1215,0.123,0.708,0.71175,0.716,5.8580246913580245
516,test_set.py,TestBasicOpsBytes.test_equivalent_equality,0.12,0.12125,0.123,0.702,0.7102499999999999,0.717,5.857731958762886
938,test_set.py,TestSet.test_iand,0.117,0.11925,0.123,0.692,0.6984999999999999,0.707,5.8574423480083855
332,test_math.py,MathTests.testModf,0.118,0.121,0.126,0.699,0.70875,0.715,5.857438016528926
446,test_operator.py,PyOperatorTestCase.test_abs,0.116,0.121,0.123,0.691,0.70875,0.72,5.857438016528926
996,test_set.py,TestSetSubclass.test_sub_and_super,0.121,0.12275,0.125,0.709,0.719,0.728,5.857433808553972
115,test_ordered_dict.py,CPythonBuiltinDictTests.test_reinsert,0.117,0.12075,0.124,0.704,0.7072499999999999,0.71,5.857142857142857
389,test_iter.py,TestCase.test_mutating_seq_class_exhausted_iter,0.119,0.12225,0.125,0.714,0.716,0.719,5.856850715746421
855,test_set.py,TestMutate.test_update_empty_tuple,0.117,0.12025,0.124,0.698,0.7042499999999999,0.71,5.856548856548856
536,test_set.py,TestBasicOpsEmpty.test_intersection_empty,0.12,0.12175,0.123,0.698,0.713,0.73,5.856262833675564
611,test_set.py,TestBasicOpsTriple.test_empty_intersection,0.12,0.12175,0.123,0.695,0.713,0.722,5.856262833675564
662,test_set.py,TestBinaryOps.test_sym_difference_superset,0.118,0.1205,0.123,0.687,0.7055,0.721,5.854771784232366
588,test_set.py,TestBasicOpsSingleton.test_union_empty,0.122,0.122,0.122,0.71,0.7142499999999999,0.717,5.854508196721311
626,test_set.py,TestBasicOpsTriple.test_self_union,0.118,0.1215,0.124,0.697,0.7112499999999999,0.726,5.853909465020576
873,test_set.py,TestOnlySetsGenerator.test_eq_ne,0.118,0.121,0.124,0.698,0.7082499999999999,0.718,5.853305785123967
394,test_iter.py,TestCase.test_seq_class_for,0.118,0.12075,0.122,0.701,0.70675,0.713,5.853002070393375
768,test_set.py,TestFrozenSetSubclass.test_sub_and_super,0.121,0.12225,0.124,0.709,0.7155,0.721,5.852760736196319
468,test_operator.py,PyOperatorTestCase.test_le,0.116,0.11975,0.122,0.684,0.70075,0.716,5.851774530271399
339,test_math.py,MathTests.testTanh,0.119,0.12125,0.123,0.705,0.7095,0.716,5.851546391752578
863,test_set.py,TestOnlySetsDict.test_intersection,0.118,0.12125,0.123,0.703,0.7095,0.715,5.851546391752578
574,test_set.py,TestBasicOpsSingleton.test_equivalent_equality,0.117,0.121,0.124,0.701,0.708,0.712,5.851239669421488
659,test_set.py,TestBinaryOps.test_sym_difference_non_overlap,0.118,0.12025,0.122,0.693,0.7035,0.725,5.850311850311851
1159,test_generators.py,GeneratorThrowTest.test_exception_context_with_yield_inside_generator,0.121,0.12125,0.122,0.704,0.7092499999999999,0.713,5.849484536082474
133,test_ordered_dict.py,CPythonOrderedDictSubclassTests.test_reinsert,0.12,0.12175,0.123,0.693,0.712,0.725,5.848049281314168
769,test_set.py,TestFrozenSetSubclass.test_subclass_with_custom_hash,0.119,0.1205,0.122,0.686,0.7045,0.714,5.846473029045644
383,test_iter.py,TestCase.test_iter_function_stop,0.118,0.12025,0.121,0.697,0.703,0.712,5.846153846153846
316,test_math.py,MathTests.testCosh,0.119,0.123,0.127,0.708,0.719,0.725,5.845528455284553
622,test_set.py,TestBasicOpsTriple.test_self_equality,0.121,0.1225,0.124,0.711,0.716,0.719,5.844897959183673
767,test_set.py,TestFrozenSetSubclass.test_sub,0.122,0.124,0.127,0.714,0.72475,0.735,5.844758064516129
856,test_set.py,TestMutate.test_update_unit_tuple_non_overlap,0.121,0.12175,0.122,0.704,0.7115,0.717,5.84394250513347
549,test_set.py,TestBasicOpsMixedStringBytes.test_empty_difference,0.118,0.1215,0.125,0.699,0.71,0.728,5.843621399176954
603,test_set.py,TestBasicOpsString.test_self_intersection,0.121,0.12225,0.123,0.711,0.7142499999999999,0.719,5.842535787321063
482,test_operator.py,PyOperatorTestCase.test_setitem,0.122,0.12325,0.125,0.711,0.72,0.739,5.841784989858012
531,test_set.py,TestBasicOpsEmpty.test_empty_intersection,0.116,0.1185,0.122,0.682,0.69225,0.7,5.841772151898735
319,test_math.py,MathTests.testExp2,0.12,0.12275,0.126,0.708,0.717,0.727,5.841140529531568
896,test_set.py,TestOnlySetsOperator.test_intersection,0.121,0.12225,0.124,0.707,0.714,0.723,5.840490797546012
337,test_math.py,MathTests.testSqrt,0.118,0.12175,0.123,0.692,0.711,0.728,5.839835728952772
450,test_operator.py,PyOperatorTestCase.test_bitwise_or,0.12,0.12175,0.124,0.701,0.711,0.718,5.839835728952772
519,test_set.py,TestBasicOpsBytes.test_issue_37219,0.119,0.12125,0.123,0.706,0.708,0.713,5.8391752577319584
1010,test_set.py,TestUpdateOps.test_intersection_non_overlap,0.119,0.12025,0.122,0.691,0.702,0.713,5.837837837837838
861,test_set.py,TestOnlySetsDict.test_eq_ne,0.118,0.12025,0.122,0.688,0.702,0.714,5.837837837837838
1119,test_sys.py,ActiveExceptionTests.test_exc_info_no_exception,0.118,0.12,0.122,0.697,0.7004999999999999,0.705,5.8375
533,test_set.py,TestBasicOpsEmpty.test_empty_symmetric_difference,0.119,0.1215,0.123,0.702,0.7092499999999999,0.717,5.837448559670782
1055,test_contextlib.py,TestExitStack.test_enter_context,0.116,0.1195,0.124,0.69,0.6975,0.706,5.836820083682008
564,test_set.py,TestBasicOpsMixedStringBytes.test_self_symmetric_difference,0.121,0.122,0.123,0.704,0.712,0.715,5.836065573770492
477,test_operator.py,PyOperatorTestCase.test_neg,0.121,0.12175,0.122,0.699,0.7104999999999999,0.715,5.835728952772073
153,test_ordered_dict.py,CPythonSubclassMappingTests.test_setdefault,0.117,0.1185,0.122,0.684,0.6915,0.695,5.835443037974684
974,test_set.py,TestSetSubclass.test_equality,0.12,0.12125,0.124,0.69,0.7075,0.724,5.835051546391753
1201,test_list.py,ListTest.test_reverse,0.119,0.12125,0.123,0.705,0.7075,0.713,5.835051546391753
306,test_math.py,MathTests.testAsin,0.122,0.1225,0.124,0.711,0.71475,0.718,5.834693877551021
124,test_ordered_dict.py,CPythonGeneralMappingTests.test_pop,0.117,0.11925,0.122,0.689,0.69575,0.701,5.834381551362683
1088,test_collections.py,TestCounter.test_ge,0.119,0.12075,0.122,0.688,0.7044999999999999,0.718,5.834368530020703
918,test_set.py,TestOnlySetsTuple.test_eq_ne,0.12,0.12225,0.124,0.712,0.7132499999999999,0.715,5.8343558282208585
532,test_set.py,TestBasicOpsEmpty.test_empty_isdisjoint,0.118,0.12025,0.123,0.691,0.7015,0.717,5.833679833679834
747,test_set.py,TestFrozenSet.test_sub_and_super,0.122,0.1225,0.123,0.693,0.7144999999999999,0.725,5.832653061224489
883,test_set.py,TestOnlySetsNumeric.test_intersection_update,0.119,0.121,0.123,0.701,0.70575,0.71,5.832644628099174
923,test_set.py,TestOnlySetsTuple.test_sym_difference,0.118,0.121,0.124,0.695,0.70575,0.72,5.832644628099174
846,test_set.py,TestMutate.test_add_present,0.119,0.12075,0.124,0.701,0.7042499999999999,0.709,5.832298136645963
514,test_set.py,TestBasicOpsBytes.test_empty_symmetric_difference,0.117,0.12025,0.122,0.698,0.7012499999999999,0.709,5.831600831600832
187,test_itertools.py,TestExamples.test_combinations,0.119,0.11975,0.122,0.685,0.69825,0.706,5.830897703549061
627,test_set.py,TestBasicOpsTriple.test_union_empty,0.119,0.12125,0.122,0.696,0.70675,0.724,5.828865979381443
317,test_math.py,MathTests.testDegrees,0.118,0.11975,0.122,0.692,0.698,0.706,5.828810020876826
615,test_set.py,TestBasicOpsTriple.test_equivalent_equality,0.12,0.121,0.122,0.695,0.7052499999999999,0.717,5.828512396694214
534,test_set.py,TestBasicOpsEmpty.test_empty_union,0.118,0.121,0.122,0.691,0.7052499999999999,0.72,5.828512396694214
538,test_set.py,TestBasicOpsEmpty.test_issue_37219,0.119,0.12025,0.123,0.679,0.70075,0.712,5.827442827442828
1033,test_contextlib.py,ContextManagerTestCase.test_contextmanager_non_normalised,0.12,0.1215,0.122,0.697,0.708,0.712,5.827160493827161
601,test_set.py,TestBasicOpsString.test_self_difference,0.118,0.12125,0.123,0.694,0.7064999999999999,0.722,5.82680412371134
1027,test_contextlib.py,ClosingTestCase.test_closing,0.119,0.11975,0.122,0.683,0.69775,0.708,5.826722338204593
63,test_float.py,RoundTestCase.test_inf_nan,0.116,0.121,0.123,0.69,0.705,0.722,5.826446280991736
42,test_float.py,GeneralFloatCases.test_floatconversion,0.122,0.1235,0.125,0.715,0.7195,0.723,5.825910931174089
517,test_set.py,TestBasicOpsBytes.test_intersection_empty,0.12,0.1225,0.128,0.71,0.7135,0.718,5.824489795918368
927,test_set.py,TestOnlySetsTuple.test_update,0.117,0.12075,0.122,0.69,0.7032499999999999,0.721,5.824016563146998
447,test_operator.py,PyOperatorTestCase.test_add,0.118,0.11925,0.121,0.687,0.6945,0.709,5.823899371069182
1034,test_contextlib.py,ContextManagerTestCase.test_contextmanager_plain,0.119,0.12175,0.124,0.7,0.709,0.719,5.823408624229979
878,test_set.py,TestOnlySetsNumeric.test_difference_update,0.118,0.12175,0.126,0.7,0.709,0.716,5.823408624229979
751,test_set.py,TestFrozenSet.test_uniquification,0.12,0.12175,0.123,0.704,0.709,0.718,5.823408624229979
1030,test_contextlib.py,ContextManagerTestCase.test_contextmanager_except_stopiter,0.119,0.12075,0.123,0.693,0.703,0.712,5.821946169772256
635,test_set.py,TestBasicOpsTuple.test_equivalent_equality,0.121,0.12125,0.122,0.696,0.70575,0.712,5.820618556701031
652,test_set.py,TestBinaryOps.test_intersection_overlap,0.12,0.1215,0.123,0.703,0.707,0.712,5.818930041152263
1077,test_collections.py,TestCollectionABCs.test_Set_interoperability_with_real_sets,0.12,0.12125,0.122,0.7,0.7055,0.718,5.8185567010309285
1018,test_set.py,TestUpdateOps.test_sym_difference_superset,0.12,0.1225,0.125,0.709,0.71275,0.717,5.818367346938776
1202,test_list.py,ListTest.test_set_subscript,0.121,0.12225,0.124,0.698,0.7112499999999999,0.719,5.81799591002045
584,test_set.py,TestBasicOpsSingleton.test_self_intersection,0.121,0.12225,0.125,0.706,0.7112499999999999,0.722,5.81799591002045
1062,test_collections.py,TestChainMap.test_constructor,0.12,0.12075,0.122,0.689,0.7024999999999999,0.712,5.817805383022773
577,test_set.py,TestBasicOpsSingleton.test_isdisjoint_empty,0.116,0.1195,0.122,0.691,0.695,0.703,5.815899581589958
307,test_math.py,MathTests.testAsinh,0.122,0.1235,0.125,0.716,0.7182499999999999,0.721,5.81578947368421
570,test_set.py,TestBasicOpsSingleton.test_empty_intersection,0.12,0.12175,0.124,0.698,0.708,0.716,5.815195071868583
396,test_iter.py,TestCase.test_sinkstate_callable,0.12,0.12175,0.123,0.703,0.708,0.712,5.815195071868583
541,test_set.py,TestBasicOpsEmpty.test_self_difference,0.117,0.11975,0.121,0.674,0.69625,0.71,5.814196242171191
656,test_set.py,TestBinaryOps.test_isdisjoint_overlap,0.117,0.11825,0.12,0.677,0.6875,0.699,5.813953488372094
977,test_set.py,TestSetSubclass.test_init,0.121,0.12225,0.124,0.691,0.71075,0.729,5.813905930470348
581,test_set.py,TestBasicOpsSingleton.test_repr,0.118,0.12025,0.121,0.692,0.699,0.71,5.8128898128898125
1038,test_contextlib.py,ContextManagerTestCase.test_keywords,0.117,0.12,0.122,0.693,0.6975,0.705,5.8125
629,test_set.py,TestBasicOpsTuple.test_empty_difference,0.118,0.121,0.123,0.69,0.7032499999999999,0.715,5.81198347107438
596,test_set.py,TestBasicOpsString.test_equivalent_equality,0.122,0.123,0.124,0.713,0.71475,0.717,5.810975609756098
556,test_set.py,TestBasicOpsMixedStringBytes.test_intersection_empty,0.121,0.1215,0.123,0.684,0.706,0.717,5.810699588477366
343,test_math.py,MathTests.test_input_exceptions,0.12,0.1215,0.123,0.693,0.706,0.719,5.810699588477366
1197,test_list.py,ListTest.test_overflow,0.122,0.12275,0.124,0.704,0.7132499999999999,0.72,5.810590631364562
877,test_set.py,TestOnlySetsNumeric.test_difference,0.12,0.12275,0.128,0.703,0.7132499999999999,0.721,5.810590631364562
599,test_set.py,TestBasicOpsString.test_issue_37219,0.122,0.1225,0.123,0.703,0.71175,0.721,5.810204081632653
401,test_iter.py,TestCase.test_sinkstate_sequence,0.12,0.12225,0.123,0.701,0.7102499999999999,0.718,5.809815950920245
321,test_math.py,MathTests.testFactorialHugeInputs,0.119,0.12075,0.122,0.685,0.7015,0.715,5.80952380952381
1035,test_contextlib.py,ContextManagerTestCase.test_contextmanager_trap_no_yield,0.12,0.1205,0.121,0.694,0.7,0.71,5.809128630705394
190,test_itertools.py,TestExamples.test_cycle,0.12,0.12125,0.122,0.7,0.704,0.714,5.806185567010309
520,test_set.py,TestBasicOpsBytes.test_length,0.118,0.11975,0.123,0.684,0.69525,0.707,5.805845511482255
561,test_set.py,TestBasicOpsMixedStringBytes.test_self_equality,0.116,0.121,0.124,0.697,0.7024999999999999,0.712,5.805785123966942
1143,test_generators.py,ExceptionTest.test_except_gen_except,0.12,0.121,0.122,0.691,0.7024999999999999,0.709,5.805785123966942
605,test_set.py,TestBasicOpsString.test_self_symmetric_difference,0.121,0.122,0.123,0.696,0.7082499999999999,0.714,5.8053278688524586
1101,test_collections.py,TestNamedTuple.test_new_builtins_issue_43102,0.12,0.1205,0.122,0.682,0.6995,0.706,5.804979253112034
377,test_iter.py,TestCase.test_iter_class_for,0.119,0.121,0.123,0.696,0.7022499999999999,0.708,5.803719008264462
729,test_set.py,TestCopyingSingleton.test_copy,0.12,0.12075,0.121,0.692,0.70075,0.714,5.803312629399586
908,test_set.py,TestOnlySetsString.test_intersection,0.122,0.123,0.124,0.702,0.71375,0.723,5.8028455284552845
71,test_dict.py,DictTest.test_constructor,0.117,0.12,0.122,0.682,0.69625,0.722,5.802083333333334
125,test_ordered_dict.py,CPythonGeneralMappingTests.test_popitem,0.118,0.1195,0.122,0.689,0.6932499999999999,0.701,5.8012552301255225
933,test_set.py,TestSet.test_deepcopy,0.118,0.12075,0.128,0.699,0.7004999999999999,0.705,5.801242236024844
950,test_set.py,TestSet.test_remove_keyerror_unpacking,0.121,0.122,0.125,0.699,0.70775,0.718,5.801229508196721
604,test_set.py,TestBasicOpsString.test_self_isdisjoint,0.118,0.1205,0.122,0.684,0.699,0.712,5.800829875518672
980,test_set.py,TestSetSubclass.test_ior,0.121,0.12175,0.123,0.695,0.7062499999999999,0.721,5.800821355236139
546,test_set.py,TestBasicOpsEmpty.test_self_union,0.121,0.122,0.123,0.693,0.7075,0.717,5.799180327868853
616,test_set.py,TestBasicOpsTriple.test_intersection_empty,0.118,0.12075,0.123,0.683,0.70025,0.708,5.799171842650104
851,test_set.py,TestMutate.test_pop,0.119,0.1205,0.124,0.692,0.69875,0.702,5.798755186721992
732,test_set.py,TestExceptionPropagation.test_instanceWithException,0.118,0.1215,0.124,0.691,0.7044999999999999,0.713,5.79835390946502
850,test_set.py,TestMutate.test_discard_present,0.122,0.1225,0.123,0.702,0.7102499999999999,0.716,5.797959183673469
193,test_itertools.py,TestExamples.test_groupby,0.116,0.12,0.122,0.676,0.69575,0.712,5.797916666666667
1006,test_set.py,TestUpdateOps.test_difference_overlap,0.116,0.12,0.125,0.692,0.69575,0.7,5.797916666666667
989,test_set.py,TestSetSubclass.test_remove_keyerror_unpacking,0.118,0.12125,0.123,0.7,0.70275,0.71,5.795876288659794
559,test_set.py,TestBasicOpsMixedStringBytes.test_length,0.115,0.12,0.124,0.689,0.6955,0.709,5.795833333333333
512,test_set.py,TestBasicOpsBytes.test_empty_intersection,0.121,0.122,0.123,0.695,0.707,0.718,5.795081967213115
475,test_operator.py,PyOperatorTestCase.test_mul,0.121,0.12175,0.122,0.698,0.7055,0.712,5.794661190965092
882,test_set.py,TestOnlySetsNumeric.test_intersection,0.12,0.12125,0.124,0.69,0.7024999999999999,0.713,5.79381443298969
991,test_set.py,TestSetSubclass.test_setOfFrozensets,0.12,0.12175,0.123,0.701,0.7052499999999999,0.712,5.792607802874743
554,test_set.py,TestBasicOpsMixedStringBytes.test_empty_union,0.116,0.1215,0.124,0.687,0.70375,0.722,5.792181069958848
602,test_set.py,TestBasicOpsString.test_self_equality,0.12,0.12075,0.121,0.691,0.6992499999999999,0.708,5.790890269151138
982,test_set.py,TestSetSubclass.test_isub,0.121,0.12175,0.122,0.7,0.705,0.713,5.790554414784394
1028,test_contextlib.py,ClosingTestCase.test_closing_error,0.118,0.11925,0.121,0.679,0.6905,0.702,5.790356394129979
590,test_set.py,TestBasicOpsString.test_empty_difference,0.121,0.12225,0.123,0.691,0.70775,0.723,5.789366053169735
334,test_math.py,MathTests.testRadians,0.121,0.12225,0.123,0.682,0.70775,0.723,5.789366053169735
1022,test_set.py,TestUpdateOps.test_union_subset,0.118,0.122,0.127,0.695,0.7062499999999999,0.72,5.788934426229508
610,test_set.py,TestBasicOpsTriple.test_empty_difference_rev,0.121,0.12175,0.122,0.697,0.70475,0.712,5.788501026694045
608,test_set.py,TestBasicOpsTriple.test_copy,0.119,0.12275,0.127,0.702,0.7104999999999999,0.717,5.788187372708757
135,test_ordered_dict.py,CPythonOrderedDictTests.test_abc,0.118,0.121,0.124,0.686,0.70025,0.714,5.787190082644629
1189,test_list.py,ListTest.test_insert,0.123,0.12375,0.125,0.709,0.716,0.719,5.785858585858586
903,test_set.py,TestOnlySetsOperator.test_update,0.116,0.12075,0.127,0.675,0.6985,0.714,5.784679089026915
378,test_iter.py,TestCase.test_iter_class_iter,0.118,0.12125,0.123,0.685,0.7012499999999999,0.717,5.783505154639175
1122,test_sys.py,ActiveExceptionTests.test_sys_exception_no_exception,0.119,0.121,0.122,0.686,0.69975,0.706,5.783057851239669
